;;;weiblich;männlich;
1999;Herz, Mediastinum u. Pleura (C38);30 - 34;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);35 - 39;<5;8;
1999;Herz, Mediastinum u. Pleura (C38);40 - 44;<5;8;
1999;Herz, Mediastinum u. Pleura (C38);45 - 49;5;7;
1999;Herz, Mediastinum u. Pleura (C38);50 - 54;<5;7;
1999;Herz, Mediastinum u. Pleura (C38);55 - 59;<5;13;
1999;Herz, Mediastinum u. Pleura (C38);60 - 64;9;19;
1999;Herz, Mediastinum u. Pleura (C38);65 - 69;9;21;
1999;Herz, Mediastinum u. Pleura (C38);70 - 74;10;27;
1999;Herz, Mediastinum u. Pleura (C38);75 - 79;12;17;
1999;Herz, Mediastinum u. Pleura (C38);80 - 84;7;12;
1999;Herz, Mediastinum u. Pleura (C38);85+;20;11;
1999;sonstg. Brustorgane (C39);0 - 4;<5;<5;
1999;sonstg. Brustorgane (C39);5 - 9;<5;<5;
1999;sonstg. Brustorgane (C39);10 - 14;<5;<5;
1999;sonstg. Brustorgane (C39);15 - 19;<5;<5;
1999;sonstg. Brustorgane (C39);20 - 24;<5;<5;
1999;sonstg. Brustorgane (C39);25 - 29;<5;<5;
1999;sonstg. Brustorgane (C39);30 - 34;<5;<5;
1999;sonstg. Brustorgane (C39);35 - 39;<5;<5;
1999;sonstg. Brustorgane (C39);40 - 44;<5;<5;
1999;sonstg. Brustorgane (C39);45 - 49;<5;<5;
1999;sonstg. Brustorgane (C39);50 - 54;<5;<5;
1999;sonstg. Brustorgane (C39);55 - 59;<5;<5;
1999;sonstg. Brustorgane (C39);60 - 64;<5;<5;
1999;sonstg. Brustorgane (C39);65 - 69;<5;<5;
1999;sonstg. Brustorgane (C39);70 - 74;<5;<5;
1999;sonstg. Brustorgane (C39);75 - 79;<5;<5;
1999;sonstg. Brustorgane (C39);80 - 84;<5;<5;
1999;sonstg. Brustorgane (C39);85+;<5;<5;
1999;Knochen u. Gelenkknorpel (C40-C41);0 - 4;<5;<5;
1999;Knochen u. Gelenkknorpel (C40-C41);5 - 9;9;12;
1999;Knochen u. Gelenkknorpel (C40-C41);10 - 14;21;25;
1999;Knochen u. Gelenkknorpel (C40-C41);15 - 19;27;35;
1999;Knochen u. Gelenkknorpel (C40-C41);20 - 24;15;36;
1999;Knochen u. Gelenkknorpel (C40-C41);25 - 29;9;14;
1999;Knochen u. Gelenkknorpel (C40-C41);30 - 34;13;14;
1999;Knochen u. Gelenkknorpel (C40-C41);35 - 39;21;24;
1999;Knochen u. Gelenkknorpel (C40-C41);40 - 44;15;22;
1999;Knochen u. Gelenkknorpel (C40-C41);45 - 49;18;16;
1999;Knochen u. Gelenkknorpel (C40-C41);50 - 54;11;18;
1999;Knochen u. Gelenkknorpel (C40-C41);55 - 59;32;40;
1999;Knochen u. Gelenkknorpel (C40-C41);60 - 64;26;38;
1999;Knochen u. Gelenkknorpel (C40-C41);65 - 69;18;36;
1999;Knochen u. Gelenkknorpel (C40-C41);70 - 74;20;26;
1999;Knochen u. Gelenkknorpel (C40-C41);75 - 79;23;21;
1999;Knochen u. Gelenkknorpel (C40-C41);80 - 84;16;9;
1999;Knochen u. Gelenkknorpel (C40-C41);85+;20;11;
1999;Malignes Melanom der Haut (C43);0 - 4;<5;<5;
1999;Malignes Melanom der Haut (C43);5 - 9;<5;<5;
1999;Malignes Melanom der Haut (C43);10 - 14;<5;<5;
1999;Malignes Melanom der Haut (C43);15 - 19;27;19;
1999;Malignes Melanom der Haut (C43);20 - 24;209;42;
1999;Malignes Melanom der Haut (C43);25 - 29;236;164;
1999;Malignes Melanom der Haut (C43);30 - 34;477;220;
1999;Malignes Melanom der Haut (C43);35 - 39;624;292;
1999;Malignes Melanom der Haut (C43);40 - 44;418;391;
1999;Malignes Melanom der Haut (C43);45 - 49;502;431;
1999;Malignes Melanom der Haut (C43);50 - 54;553;556;
1999;Malignes Melanom der Haut (C43);55 - 59;755;878;
1999;Malignes Melanom der Haut (C43);60 - 64;704;1.087;
1999;Malignes Melanom der Haut (C43);65 - 69;429;721;
1999;Malignes Melanom der Haut (C43);70 - 74;656;549;
1999;Malignes Melanom der Haut (C43);75 - 79;526;417;
1999;Malignes Melanom der Haut (C43);80 - 84;312;129;
1999;Malignes Melanom der Haut (C43);85+;352;259;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);0 - 4;40;51;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);5 - 9;15;17;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);10 - 14;13;13;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);15 - 19;20;20;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);20 - 24;26;39;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);25 - 29;21;29;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);30 - 34;41;44;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);35 - 39;59;86;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);40 - 44;71;88;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);45 - 49;86;95;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);50 - 54;68;97;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);55 - 59;182;245;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);60 - 64;223;392;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);65 - 69;164;346;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);70 - 74;189;386;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);75 - 79;203;252;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);80 - 84;125;163;
1999;Weichteile u. mesotheliales Gewebe (C45-C49);85+;146;186;
1999;Brustdrüse (C50);0 - 4;<5;<5;
1999;Brustdrüse (C50);5 - 9;<5;<5;
1999;Brustdrüse (C50);10 - 14;<5;<5;
1999;Brustdrüse (C50);15 - 19;<5;<5;
1999;Brustdrüse (C50);20 - 24;33;<5;
1999;Brustdrüse (C50);25 - 29;253;<5;
1999;Brustdrüse (C50);30 - 34;948;<5;
1999;Brustdrüse (C50);35 - 39;1.759;7;
1999;Brustdrüse (C50);40 - 44;2.961;16;
1999;Brustdrüse (C50);45 - 49;4.629;19;
1999;Brustdrüse (C50);50 - 54;4.881;24;
1999;Brustdrüse (C50);55 - 59;7.393;49;
1999;Brustdrüse (C50);60 - 64;8.201;69;
1999;Brustdrüse (C50);65 - 69;5.927;76;
1999;Brustdrüse (C50);70 - 74;6.417;76;
1999;Brustdrüse (C50);75 - 79;6.109;61;
1999;Brustdrüse (C50);80 - 84;3.068;30;
1999;Brustdrüse (C50);85+;4.708;36;
1999;Vulva (C51);0 - 4;<5;x;
1999;Vulva (C51);5 - 9;<5;x;
1999;Vulva (C51);10 - 14;<5;x;
1999;Vulva (C51);15 - 19;<5;x;
1999;Vulva (C51);20 - 24;<5;x;
1999;Vulva (C51);25 - 29;18;x;
1999;Vulva (C51);30 - 34;51;x;
1999;Vulva (C51);35 - 39;83;x;
1999;Vulva (C51);40 - 44;94;x;
1999;Vulva (C51);45 - 49;104;x;
1999;Vulva (C51);50 - 54;106;x;
1999;Vulva (C51);55 - 59;137;x;
1999;Vulva (C51);60 - 64;119;x;
1999;Vulva (C51);65 - 69;107;x;
1999;Vulva (C51);70 - 74;190;x;
1999;Vulva (C51);75 - 79;298;x;
1999;Vulva (C51);80 - 84;220;x;
1999;Vulva (C51);85+;281;x;
1999;Vagina (C52);0 - 4;<5;x;
1999;Vagina (C52);5 - 9;<5;x;
1999;Vagina (C52);10 - 14;<5;x;
1999;Vagina (C52);15 - 19;<5;x;
1999;Vagina (C52);20 - 24;<5;x;
1999;Vagina (C52);25 - 29;<5;x;
1999;Vagina (C52);30 - 34;<5;x;
1999;Vagina (C52);35 - 39;8;x;
1999;Vagina (C52);40 - 44;12;x;
1999;Vagina (C52);45 - 49;14;x;
1999;Vagina (C52);50 - 54;20;x;
1999;Vagina (C52);55 - 59;33;x;
1999;Vagina (C52);60 - 64;43;x;
1999;Vagina (C52);65 - 69;41;x;
1999;Vagina (C52);70 - 74;50;x;
1999;Vagina (C52);75 - 79;82;x;
1999;Vagina (C52);80 - 84;57;x;
1999;Vagina (C52);85+;66;x;
1999;Gebärmutterhals (C53);0 - 4;<5;x;
1999;Gebärmutterhals (C53);5 - 9;<5;x;
1999;Gebärmutterhals (C53);10 - 14;<5;x;
1999;Gebärmutterhals (C53);15 - 19;<5;x;
1999;Gebärmutterhals (C53);20 - 24;28;x;
1999;Gebärmutterhals (C53);25 - 29;215;x;
1999;Gebärmutterhals (C53);30 - 34;602;x;
1999;Gebärmutterhals (C53);35 - 39;919;x;
1999;Gebärmutterhals (C53);40 - 44;722;x;
1999;Gebärmutterhals (C53);45 - 49;565;x;
1999;Gebärmutterhals (C53);50 - 54;373;x;
1999;Gebärmutterhals (C53);55 - 59;474;x;
1999;Gebärmutterhals (C53);60 - 64;416;x;
1999;Gebärmutterhals (C53);65 - 69;415;x;
1999;Gebärmutterhals (C53);70 - 74;452;x;
1999;Gebärmutterhals (C53);75 - 79;537;x;
1999;Gebärmutterhals (C53);80 - 84;304;x;
1999;Gebärmutterhals (C53);85+;277;x;
1999;Gebärmutterkörper (C54-C55);0 - 4;<5;x;
1999;Gebärmutterkörper (C54-C55);5 - 9;<5;x;
1999;Gebärmutterkörper (C54-C55);10 - 14;<5;x;
1999;Gebärmutterkörper (C54-C55);15 - 19;<5;x;
1999;Gebärmutterkörper (C54-C55);20 - 24;6;x;
1999;Gebärmutterkörper (C54-C55);25 - 29;8;x;
1999;Gebärmutterkörper (C54-C55);30 - 34;58;x;
1999;Gebärmutterkörper (C54-C55);35 - 39;87;x;
1999;Gebärmutterkörper (C54-C55);40 - 44;183;x;
1999;Gebärmutterkörper (C54-C55);45 - 49;319;x;
1999;Gebärmutterkörper (C54-C55);50 - 54;456;x;
1999;Gebärmutterkörper (C54-C55);55 - 59;1.516;x;
1999;Gebärmutterkörper (C54-C55);60 - 64;2.096;x;
1999;Gebärmutterkörper (C54-C55);65 - 69;1.438;x;
1999;Gebärmutterkörper (C54-C55);70 - 74;1.766;x;
1999;Gebärmutterkörper (C54-C55);75 - 79;1.660;x;
1999;Gebärmutterkörper (C54-C55);80 - 84;638;x;
1999;Gebärmutterkörper (C54-C55);85+;1.123;x;
1999;Eierstöcke (C56);0 - 4;<5;x;
1999;Eierstöcke (C56);5 - 9;<5;x;
1999;Eierstöcke (C56);10 - 14;14;x;
1999;Eierstöcke (C56);15 - 19;29;x;
1999;Eierstöcke (C56);20 - 24;51;x;
1999;Eierstöcke (C56);25 - 29;55;x;
1999;Eierstöcke (C56);30 - 34;87;x;
1999;Eierstöcke (C56);35 - 39;89;x;
